year,country,pop,labor_force,gdp,unemployment_r,pop_over_65,gdp_over_pop,continent,hours_worked_over_pop_combined,pop_0_to_14,pop_15_to_64,gdp_ppp_c,gdp_ppp,gdp_c
2011,Mongolia,2743938,1195069,10409797377.8571,4.769,3.79848301938364,3793.7436552345935,3,871.6307356391351,NA,NA,30538301606.8939,24691841190.0464,8389088993.66654
2011,"Korea, Dem. People's Rep.",24783789,14498304,NA,2.903,9.80295204653832,NA,3,1130.5945033716073,NA,NA,NA,NA,NA
2012,China,1354190000,778937997,8532185381680.59,4.58,9.04930343173355,6300.582179517342,3,1243.9347540491167,18.3062291633771,0.726444673937926,16230396597386.1,15212933582532.8,8926363432826.3
2012,"Hong Kong SAR, China",7150100,3818310,262628865879.697,3.285,13.93621977147,36730.79619581502,3,1157.0406076456975,11.731918175962,0.743318554985245,421965736629.529,372875436044.484,285201930753.364
2012,Japan,127629000,65518909,6272362996105.03,4.358,24.6474521902233,49145.28043081925,3,887.3004176166859,13.0055239900687,0.6234702379553236,5338123032664.63,4799612889015.1,4277925608850.6
2012,"Korea, Rep.",50199853,26269374,1278046536287.01,2.812,11.7356495326759,25459.16890009638,3,1050.4874384784434,15.2008036396689,0.7306354662034568,1985102837153.81,1684562928828.18,1339345905332.01
2012,"Macao SAR, China",582766,359270,43189721376.9846,1.97,7.62912761800824,74111.60118638458,3,1518.4247961574736,12.5767352790526,0.7979411976676745,93172503506.2499,75587734812.7123,52907931558.6008
2012,Mongolia,2792349,1203558,12292770631.565,3.905,3.79109129983394,4402.3045226671165,3,1150.3990450939025,28.2124476560774,0.6799647895015989,34300565349.9306,28827895153.548,9422609644.69237
2012,"Korea, Dem. People's Rep.",24887770,14631733,NA,2.92,10.0589265329919,NA,3,1131.726858522496,20.8054638884882,0.6913561158753878,NA,NA,NA
2013,China,1363240000,779042510,9570471111831.68,4.6,9.32037728652277,7020.386074228808,3,1238.936621257156,18.3272907959873,0.7235233194448519,17490873558596,16374803441524.1,9619598215288.48
2013,"Hong Kong SAR, China",7178900,3880979,275696879834.966,3.4,14.3677323285678,38403.77771454763,3,1167.66866759225,11.6940289042092,0.7393823566284529,435053179869.491,384196203206.691,294047587536.961
2013,Japan,127445000,65768575,5212328181166.18,4.038,25.5814882963769,40898.647896474395,3,886.5856487112087,12.9021822740298,0.6151632939699478,5445157747028.93,5021591088716.88,4363702302795.86
2013,"Korea, Rep.",50428893,26634430,1370632955321.2,2.747,12.1180072054044,27179.5170146051,3,1053.6520801716983,14.6755856379674,0.7320640768378557,2047925558084.06,1726902752731.95,1381732300870.28
2013,"Macao SAR, China",593374,365781,51536595089.2793,1.82,8.04805067971522,86853.47704698773,3,1519.198329964936,12.6741420033082,0.7927782477830171,103191137902.363,88662888143.357,58597005083.4377
2013,Mongolia,2845153,1210993,12582122604.2577,4.231,3.79396050160387,4422.300876001291,3,1150.3990450939025,28.4528936663698,0.6775315773879296,38296209459.5173,30272589127.4882,10520241544.9149
